address,description,lat,lng,photos,url,title
Lake Kiowa Septic,"Drive through circle benefiting missions

Clark’s Christmas Drive through",32.749904,-97.330339,,https://www.google.com/maps/place/Lake+Kiowa+Septic/data=!4m2!3m1!1s0x864c5466d9c64d05:0xfd65d0f9b2f2b992,Lake Kiowa Septic
9719 Bernard Rd,"We have a great drive by display at our house. You won’t be disappointed!
Lazy H Ranch

The Laazy H Ranch Christmas light display is up and running! With almost a quarter of a million lights on 3 acres, this free drive by display has something for everyone. We will be lit nightly from 6pm to 11pm through New Year’s Day. 

9719 Bernard Rd
Sanger, Texas",32.733078500132,-96.87420050468,,https://www.google.com/maps/place/9719+Bernard+Rd/data=!4m2!3m1!1s0x864dba1321f4c105:0x68a8e33335fd26,9719 Bernard Rd
6125 Deloache Ave,"The Viral DALLAS HOUSE IS BACK🎉🎉🎉Theme This Year is The Grinch💚💚
 📍6215 Deloache Ave, DallasTx   #dallas #fyp #viralhouse #foryoupageシ",32.870741308014,-96.801331498647,,https://www.google.com/maps/place/6125+Deloache+Ave/data=!4m2!3m1!1s0x864e9e483bf41fc7:0x84587673a9478989,6125 Deloache Ave
7112 Four Sixes Ranch Rd,https://www.facebook.com/share/p/15WSkzHSmjr/?mibextid=wwXIfr,32.87169428676,-97.228650151393,,https://www.google.com/maps/place/7112+Four+Sixes+Ranch+Rd/data=!4m2!3m1!1s0x864dd7d66b09f9cb:0xff6cdd372fa09885,7112 Four Sixes Ranch Rd
1306 Windsor Way,"https://www.facebook.com/share/14QJiow2qiJ/?mibextid=wwXIfr

The Windsor Way Synchronized Christmas light display Windsor Way Christmas is back for the 16th year! The show runs nightly Thanksgiving through Dec 31st from 6-10 p.m. (weather permitting). Located at 1306 Windsor Way, Rowlett, TX and synced with 29 houses in the surrounding area (Tolar Bay 2 neighborhood). The show is just over an hour long. Come drive through the neighborhood and check it out (and yes, it’s free)! 🎄",32.875378887577,-96.5646629392,,https://www.google.com/maps/place/1306+Windsor+Way/data=!4m2!3m1!1s0x864ea86f0681361d:0xcdb12a0b879ab369,1306 Windsor Way
6754 Aster Dr,https://www.facebook.com/share/v/1BXdPsDHcU/?mibextid=wwXIfr,32.849354188819,-97.066885874172,,https://www.google.com/maps/place/6754+Aster+Dr/data=!4m2!3m1!1s0x864ef543b9a02c63:0x28c68d9710804e26,6754 Aster Dr
8132 Lost Maple Dr,"https://www.facebook.com/share/p/1Cp26Qz6wb/?mibextid=wwXIfr

⏰ Showtime: 5:45 PM – 10 PM, every night (Monday–Sunday)
🎧 Length: 42-minute playlist that loops
📅 Runs nightly through January 1, 2026",32.899900815869,-97.20621028785,,https://www.google.com/maps/place/8132+Lost+Maple+Dr/data=!4m2!3m1!1s0x864dd64406c0f157:0x4d333c84725cbc24,8132 Lost Maple Dr
Lights Over Frisco,"Lights over Frisco

https://www.facebook.com/share/1Df3DEFfHW/?mibextid=wwXIfr",32.749904,-97.330339,,https://www.google.com/maps/place/Lights+Over+Frisco/data=!4m2!3m1!1s0x864c1700139854d1:0xbcfc0b4f89f710ca,Lights Over Frisco
171 FM 1183,"Mach Family Christmas

https://www.facebook.com/share/1BoETh36Xe/?mibextid=wwXIfr",32.73226099216,-97.504459483318,,https://www.google.com/maps/place/171+FM+1183/data=!4m2!3m1!1s0x864ed75497673c79:0xb3c5742918425477,171 FM 1183
8429 Golf Club Cir,Cole Family Lights,32.87911227107,-97.432695430439,,https://www.google.com/maps/place/8429+Golf+Club+Cir/data=!4m2!3m1!1s0x864ddfe0cac9e75d:0xac100672cdbbfa6a,8429 Golf Club Cir
Creekside Dr,,32.82610199313,-97.076623005363,,https://www.google.com/maps/place/Creekside+Dr/data=!4m2!3m1!1s0x864ddf56f6395da9:0x4e91ea0afb0bd789,Creekside Dr
307 Country Club Dr,"https://www.facebook.com/share/16NacakgW2/?mibextid=wwXIfr

Glazewolds family Christmas",32.967969666683,-96.554247597817,,https://www.google.com/maps/place/307+Country+Club+Dr/data=!4m2!3m1!1s0x864e41c030e475cb:0xf04824da727df619,307 Country Club Dr
5500 Montclair Dr,"https://www.facebook.com/share/p/1AEruZBwDv/
The Big Red Tree in Colleyville",32.748206494259,-97.25141602906,,https://www.google.com/maps/place/5500+Montclair+Dr/data=!4m2!3m1!1s0x864dd5762cd51e29:0x75a5d29f3a43f9bb,5500 Montclair Dr
Tesla,,32.77288520605,-96.831681666352,,https://www.google.com/maps/place/Tesla/data=!4m2!3m1!1s0x864c3cafbe9d559f:0x73c8e06edbe02807,Tesla
Bartonville Tree,Bartonville Christmas tree,32.763667501399,-97.223683496576,,https://www.google.com/maps/place/Bartonville+Tree/data=!4m2!3m1!1s0x864dcd0014e0d1c9:0xb8df16e680d4ec8c,Bartonville Tree
7321 Riverchase Trail,,32.67639998704,-97.4513940315,,https://www.google.com/maps/place/7321+Riverchase+Trail/data=!4m2!3m1!1s0x864dcb6352314fdd:0xec633bf0faa5066c,7321 Riverchase Trail
Aster Dr,https://www.facebook.com/share/v/17krhbgW84/?,32.849354188819,-97.066885874172,,https://www.google.com/maps/place/Aster+Dr/data=!4m2!3m1!1s0x864ef542ecc4ea1f:0x647d687d8d69e126,Aster Dr
305 Creekside Trail,DRC Christmas Light contest,33.1318013,-97.1885777,,"https://www.google.com/maps/search/33.1318013,-97.1885777",305 Creekside Trail
8201 Swan Park Dr,DRC Christmas Light contest,33.1427482,-97.1136689,,"https://www.google.com/maps/search/33.1427482,-97.1136689",8201 Swan Park Dr
8305 Early Dawn Trail,DRC Christmas Light contest,33.1419262,-97.1156216,,"https://www.google.com/maps/search/33.1419262,-97.1156216",8305 Early Dawn Trail
6716 Saddle Ct,DRC Christmas Light contest,33.1475946,-97.1048713,,"https://www.google.com/maps/search/33.1475946,-97.1048713",6716 Saddle Ct
7505 Sweetgate Ln,DRC Christmas Light contest,33.1793703,-97.0561838,,"https://www.google.com/maps/search/33.1793703,-97.0561838",7505 Sweetgate Ln
3499 Camino Real Trail,DRC Christmas Light contest,33.1751318,-97.0762682,,"https://www.google.com/maps/search/33.1751318,-97.0762682",3499 Camino Real Trail
301 Saddlebrook Dr,DRC Christmas Light contest,33.2564713,-97.2152925,,"https://www.google.com/maps/search/33.2564713,-97.2152925",301 Saddlebrook Dr
338 Chisholm Trail,DRC Christmas Light contest,33.2531068,-97.2141552,,"https://www.google.com/maps/search/33.2531068,-97.2141552",338 Chisholm Trail
1622 Appaloosa Dr,DRC Christmas Light contest,33.2570185,-97.2120953,,"https://www.google.com/maps/search/33.2570185,-97.2120953",1622 Appaloosa Dr
1428 N Locust St,DRC Christmas Light contest,33.2270952,-97.1319374,,"https://www.google.com/maps/search/33.2270952,-97.1319374",1428 N Locust St
2021 Robinwood Ln,DRC Christmas Light contest,33.2341692,-97.117703,,"https://www.google.com/maps/search/33.2341692,-97.117703",2021 Robinwood Ln
1500 Lost Lake Dr,,32.920125258584,-97.22025500481,,https://www.google.com/maps/place/1500+Lost+Lake+Dr/data=!4m2!3m1!1s0x864dd6fe6f3b773b:0x348bb90f8070f1e2,1500 Lost Lake Dr
721 Meandering Woods Dr,,32.918829458262,-97.210738024307,,https://www.google.com/maps/place/721+Meandering+Woods+Dr/data=!4m2!3m1!1s0x864dd6f77875c4e3:0x9af1db6d555572e,721 Meandering Woods Dr
733 Bandit Trail,,32.911950556055,-97.181455091192,,https://www.google.com/maps/place/733+Bandit+Trail/data=!4m2!3m1!1s0x864dd678d4e5271d:0xda15bd559c94e312,733 Bandit Trail
806 Magnolia Ct,,32.785726949131,-96.805261692305,,https://www.google.com/maps/place/806+Magnolia+Ct/data=!4m2!3m1!1s0x864dd7afbf869e67:0x38af8e9e3cfd7757,806 Magnolia Ct
915 Rolling Ridge Dr,,32.887662503816,-97.091781006703,,https://www.google.com/maps/place/915+Rolling+Ridge+Dr/data=!4m2!3m1!1s0x864dd7b145071bb3:0xc483f81c5f4043c,915 Rolling Ridge Dr
1537 Sarah Brooks Dr,,32.904831805688,-97.21663821359,,https://www.google.com/maps/place/1537+Sarah+Brooks+Dr/data=!4m2!3m1!1s0x864dd651ff335c07:0xcee76b20634deb96,1537 Sarah Brooks Dr
1545 Sarah Brooks Dr,,32.904290418562,-97.216649780616,,https://www.google.com/maps/place/1545+Sarah+Brooks+Dr/data=!4m2!3m1!1s0x864dd64e00fbcb5d:0xeede29059e17fdba,1545 Sarah Brooks Dr
1505 Chase Oaks Dr,,32.909695405005,-97.243170960454,,https://www.google.com/maps/place/1505+Chase+Oaks+Dr/data=!4m2!3m1!1s0x864dd7a1e66801f9:0xf28b75c4d829ac17,1505 Chase Oaks Dr
633 Cherry Tree Dr,,32.910007504233,-97.238922597322,,https://www.google.com/maps/place/633+Cherry+Tree+Dr/data=!4m2!3m1!1s0x864dd7a14825a4b3:0x4a393edd4d7a8d43,633 Cherry Tree Dr
809 Clearwater Ln,,32.921055566017,-97.236994419823,,https://www.google.com/maps/place/809+Clearwater+Ln/data=!4m2!3m1!1s0x864dd70eb89e6f35:0xc4c0ea07141ef980,809 Clearwater Ln
826 Forest Lakes Dr,,32.919017212893,-97.234072488376,,https://www.google.com/maps/place/826+Forest+Lakes+Dr/data=!4m2!3m1!1s0x864dd708be35d451:0xd92770bda4f70029,826 Forest Lakes Dr
794 Maplewood Dr,,32.701323689043,-96.920513223451,,https://www.google.com/maps/place/794+Maplewood+Dr/data=!4m2!3m1!1s0x864dd7a70d4ec133:0x8bd1beb34e5dd27,794 Maplewood Dr
810 Clearwater Ln,,32.920602985155,-97.236615557799,,https://www.google.com/maps/place/810+Clearwater+Ln/data=!4m2!3m1!1s0x864dd70ecec64a05:0xa9cfcd56916da557,810 Clearwater Ln
809 Tahoe Ln,,32.920457265768,-97.235454496572,,https://www.google.com/maps/place/809+Tahoe+Ln/data=!4m2!3m1!1s0x864dd70f2a4d3875:0x91e0091c420255a1,809 Tahoe Ln
827 Clearwater Ln,,32.921284936797,-97.233540153705,,https://www.google.com/maps/place/827+Clearwater+Ln/data=!4m2!3m1!1s0x864dd70f5b3bd205:0x40e1c2b71e016f6e,827 Clearwater Ln
